cases.0.samples.0.sample_id	cases.0.samples.0.submitter_id	cases.0.submitter_id	file_name	id
a3674348-7d0c-4d1a-b825-a335f79a4b79	TCGA-DM-A28C-01A	TCGA-DM-A28C	92107b4f-bd77-4401-9065-4b9704110d44.htseq.counts.gz	ba0dfc63-e0fa-4243-a69a-1384ba5f5df3
18364fcc-5f9c-4e3f-8a9e-56ed18ac893e	TCGA-DM-A1D7-01A	TCGA-DM-A1D7	7e5fbe6a-4463-424b-b024-b207d4a89962.htseq.counts.gz	20acda2c-3fd5-4f30-83ff-e39950e62f24
8fa7105d-aba3-49e4-bbc0-083c547f3449	TCGA-CM-5863-01A	TCGA-CM-5863	0319a4cc-ee3f-4c6f-83e1-7cdd5f865dc0.FPKM.txt.gz	0a153107-be76-4054-b1d3-aa5cba09cbc4
6c4dbbe4-7f58-4de2-9aaf-a6d87170870a	TCGA-A6-5662-11A	TCGA-A6-5662	f1fcd165-ddbc-44b8-b062-ae5199c53cba.FPKM-UQ.txt.gz	f1c59100-241f-4021-8f42-c64737701d78
a7fdc16c-890d-4676-82bc-5a81c715c73a	TCGA-A6-6780-01B	TCGA-A6-6780	934f9dc6-1260-4268-b022-870f1e37dd6f.htseq.counts.gz	46306072-c59c-4b4b-963c-9c4e778ff34b
d66e8ea3-e229-4809-aa7b-bbe7a8aeb3fe	TCGA-AA-3517-11A	TCGA-AA-3517	a1677081-1019-45b1-be7c-420ba066a421.FPKM.txt.gz	bbefd02d-cb5c-44f5-a614-af97392d2ec5
ef88e2b5-41f4-4d62-ac3d-d10ec8192778	TCGA-G4-6317-01A	TCGA-G4-6317	e5b468e1-f932-497d-8045-e75588701aac.FPKM-UQ.txt.gz	bc923982-7f5b-41c2-87c0-2503c993106b
73b6994e-c9bf-41a8-a455-17d7be309a9f	TCGA-A6-2684-01A	TCGA-A6-2684	a0d07984-a6a9-4571-82f5-45fade1f1b2a.FPKM.txt.gz	c8e88dd6-fa7c-46be-817f-74ff13906fcf
b85efaf6-8cb4-4929-b29e-4655c107f61a	TCGA-A6-5656-01A	TCGA-A6-5656	bf4c7278-d90c-497e-97af-cc9c68ca1525.FPKM-UQ.txt.gz	6b4eec06-8050-474a-95a9-d5b66951bfc4
6a0f2a2f-64e7-4578-a7e1-f02bf6d96f23	TCGA-AH-6549-01A	TCGA-AH-6549	7adb9e76-26da-4812-9357-f8ba01a6daa9.FPKM-UQ.txt.gz	f9636d1a-d768-4178-9dc5-eb293077da70
